year,basin,region,no,name,datetime,intensity,lat,lon
2014,SI,WA,68,CHRISTINE,2014-01-01:00:00:00,ET,-27.6886,122.171
2014,SI,WA,69,CHRISTINE,2014-01-01:03:00:00,ET,-28.4906,123.208
2014,SI,WA,70,CHRISTINE,2014-01-01:06:00:00,ET,-29.325,124.35
2014,SI,WA,71,CHRISTINE,2014-01-01:09:00:00,ET,-30.1269,125.497
2014,SI,WA,72,CHRISTINE,2014-01-01:12:00:00,ET,-30.8,126.7
2014,SI,MM,37,BEJISA,2014-01-01:00:00:00,TS,-16.2,53.4
2014,SI,MM,38,BEJISA,2014-01-01:03:00:00,TS,-16.6713,53.3425
2014,SI,MM,39,BEJISA,2014-01-01:06:00:00,TS,-17.15,53.3
2014,SI,MM,40,BEJISA,2014-01-01:09:00:00,TS,-17.6862,53.2664
2014,SI,MM,41,BEJISA,2014-01-01:12:00:00,TS,-18.2,53.3
2014,SI,MM,42,BEJISA,2014-01-01:15:00:00,TS,-18.6225,53.4561
2014,SI,MM,43,BEJISA,2014-01-01:18:00:00,TS,-19,53.65
2014,SI,MM,44,BEJISA,2014-01-01:21:00:00,TS,-19.3787,53.764
2014,SI,MM,45,BEJISA,2014-01-02:00:00:00,TS,-19.75,53.9
2014,SI,MM,46,BEJISA,2014-01-02:03:00:00,TS,-20.1176,54.1387
2014,SI,MM,47,BEJISA,2014-01-02:06:00:00,TS,-20.5,54.4
2014,SI,MM,48,BEJISA,2014-01-02:09:00:00,TS,-20.9437,54.6075
2014,SI,MM,49,BEJISA,2014-01-02:12:00:00,TS,-21.35,54.8
2014,SI,MM,50,BEJISA,2014-01-02:15:00:00,TS,-21.6225,55.0002
2014,SI,MM,51,BEJISA,2014-01-02:18:00:00,TS,-21.85,55.2
2014,SI,MM,52,BEJISA,2014-01-02:21:00:00,TS,-22.1175,55.4113
2014,SI,MM,53,BEJISA,2014-01-03:00:00:00,TS,-22.4,55.6
2014,SI,MM,54,BEJISA,2014-01-03:03:00:00,TS,-22.6962,55.7811
2014,SI,MM,55,BEJISA,2014-01-03:06:00:00,TS,-23,55.85
2014,SI,MM,56,BEJISA,2014-01-03:09:00:00,TS,-23.3113,55.7128
2014,SI,MM,57,BEJISA,2014-01-03:12:00:00,TS,-23.6,55.5
2014,SI,MM,58,BEJISA,2014-01-03:15:00:00,TS,-23.8399,55.3786
2014,SI,MM,59,BEJISA,2014-01-03:18:00:00,TS,-24.05,55.25
2014,SI,MM,60,BEJISA,2014-01-03:21:00:00,TS,-24.2311,55.0909
2014,SI,MM,61,BEJISA,2014-01-04:00:00:00,TS,-24.45,54.85
2014,SI,MM,62,BEJISA,2014-01-04:03:00:00,TS,-24.7813,54.4839
2014,SI,MM,63,BEJISA,2014-01-04:06:00:00,TS,-25.15,54.05
2014,SI,MM,64,BEJISA,2014-01-04:09:00:00,TS,-25.4784,53.6583
2014,SI,MM,65,BEJISA,2014-01-04:12:00:00,TS,-25.8,53.2
2014,SI,MM,66,BEJISA,2014-01-04:15:00:00,TS,-26.0947,52.6303
2014,SI,MM,67,BEJISA,2014-01-04:18:00:00,TS,-26.45,51.95
2014,SI,MM,68,BEJISA,2014-01-04:21:00:00,TS,-26.9153,51.1573
2014,SI,MM,69,BEJISA,2014-01-05:00:00:00,MX,-27.5,50.35
2014,SI,MM,70,BEJISA,2014-01-05:03:00:00,MX,-28.1599,49.7023
2014,SI,MM,71,BEJISA,2014-01-05:06:00:00,MX,-28.95,49
2014,SI,MM,72,BEJISA,2014-01-05:09:00:00,MX,-29.8741,48.0455
2014,SI,MM,73,BEJISA,2014-01-05:12:00:00,MX,-30.85,47
2014,SI,MM,74,BEJISA,2014-01-05:15:00:00,MX,-31.7835,45.9908
2014,SI,MM,75,BEJISA,2014-01-05:18:00:00,MX,-32.65,45.05
2014,SI,MM,76,BEJISA,2014-01-05:21:00:00,MX,-33.3935,44.1837
2014,SI,MM,77,BEJISA,2014-01-06:00:00:00,ET,-34.1,43.5
2014,SI,MM,78,BEJISA,2014-01-06:03:00:00,ET,-34.8856,43.0193
2014,SI,MM,79,BEJISA,2014-01-06:06:00:00,ET,-35.65,42.75
2014,SI,MM,80,BEJISA,2014-01-06:09:00:00,ET,-36.3559,42.5661
2014,SI,MM,81,BEJISA,2014-01-06:12:00:00,ET,-36.9571,42.5857
2014,SI,MM,82,BEJISA,2014-01-06:15:00:00,ET,-37.4058,42.8211
2014,SI,MM,83,BEJISA,2014-01-06:18:00:00,ET,-37.72,43.24
2014,SI,MM,84,BEJISA,2014-01-06:21:00:00,ET,-37.9376,43.7975
2014,SI,MM,85,BEJISA,2014-01-07:00:00:00,TS,-38.1,44.5
2014,SI,MM,86,BEJISA,2014-01-07:03:00:00,TS,-38.2069,45.1784
2014,SI,MM,87,BEJISA,2014-01-07:06:00:00,TS,-38.3,45.9
2014,SI,MM,88,BEJISA,2014-01-07:09:00:00,TS,-38.4487,46.64
2014,SI,MM,89,BEJISA,2014-01-07:12:00:00,TS,-38.6,47.5
2014,SI,MM,90,BEJISA,2014-01-07:15:00:00,TS,-38.7154,48.5446
2014,SI,MM,91,BEJISA,2014-01-07:18:00:00,TS,-38.8,49.7
2014,SP,MM,1,IAN,2014-01-04:00:00:00,NR,-16.6,-176.8
2014,SP,MM,2,IAN,2014-01-04:03:00:00,NR,-16.9875,-176.848
2014,SP,MM,3,IAN,2014-01-04:06:00:00,NR,-17.4,-176.9
2014,SP,MM,4,IAN,2014-01-04:09:00:00,NR,-17.8374,-176.945
2014,SP,MM,5,IAN,2014-01-04:12:00:00,NR,-18.1,-176.74
2014,SP,MM,6,IAN,2014-01-04:15:00:00,NR,-18.1742,-176.448
2014,SP,MM,7,IAN,2014-01-04:18:00:00,NR,-18.2,-176.186
2014,SP,MM,8,IAN,2014-01-04:21:00:00,NR,-18.2638,-176.016
2014,SP,MM,9,IAN,2014-01-05:00:00:00,NR,-18.4,-175.95
2014,SP,MM,10,IAN,2014-01-05:03:00:00,NR,-18.5862,-176.015
2014,SP,MM,11,IAN,2014-01-05:06:00:00,TS,-18.75,-176.05
2014,SP,MM,12,IAN,2014-01-05:09:00:00,TS,-18.8076,-175.843
2014,SP,MM,13,IAN,2014-01-05:12:00:00,TS,-18.85,-175.65
2014,SP,MM,14,IAN,2014-01-05:15:00:00,TS,-18.9863,-175.742
2014,SP,MM,15,IAN,2014-01-05:18:00:00,TS,-19.1,-175.85
2014,SP,MM,16,IAN,2014-01-05:21:00:00,TS,-19.1013,-175.692
2014,SP,MM,17,IAN,2014-01-06:00:00:00,TS,-19.05,-175.55
2014,SP,MM,18,IAN,2014-01-06:03:00:00,TS,-18.9963,-175.678
2014,SP,MM,19,IAN,2014-01-06:06:00:00,TS,-18.95,-175.85
2014,SP,MM,20,IAN,2014-01-06:09:00:00,TS,-18.9575,-175.861
2014,SP,MM,21,IAN,2014-01-06:12:00:00,TS,-18.95,-175.85
2014,SP,MM,22,IAN,2014-01-06:15:00:00,TS,-18.88,-175.921
2014,SP,MM,23,IAN,2014-01-06:18:00:00,TS,-18.75,-176
2014,SP,MM,24,IAN,2014-01-06:21:00:00,TS,-18.5612,-176.025
2014,SP,MM,25,IAN,2014-01-07:00:00:00,TS,-18.35,-176.05
2014,SP,MM,26,IAN,2014-01-07:03:00:00,TS,-18.1713,-176.106
2014,SP,MM,27,IAN,2014-01-07:06:00:00,TS,-18,-176.2
2014,SP,MM,28,IAN,2014-01-07:09:00:00,TS,-17.8363,-176.346
2014,SP,MM,29,IAN,2014-01-07:12:00:00,TS,-17.65,-176.5
2014,SP,MM,30,IAN,2014-01-07:15:00:00,TS,-17.3887,-176.607
2014,SP,MM,31,IAN,2014-01-07:18:00:00,TS,-17.15,-176.7
2014,SP,MM,32,IAN,2014-01-07:21:00:00,TS,-17.02,-176.815
2014,SP,MM,33,IAN,2014-01-08:00:00:00,TS,-16.95,-176.9
2014,SP,MM,34,IAN,2014-01-08:03:00:00,TS,-16.8925,-176.908
2014,SP,MM,35,IAN,2014-01-08:06:00:00,TS,-16.85,-176.9
2014,SP,MM,36,IAN,2014-01-08:09:00:00,TS,-16.8037,-176.965
2014,SP,MM,37,IAN,2014-01-08:12:00:00,TS,-16.75,-177
2014,SP,MM,38,IAN,2014-01-08:15:00:00,TS,-16.66,-176.919
2014,SP,MM,39,IAN,2014-01-08:18:00:00,TS,-16.6,-176.8
2014,SP,MM,40,IAN,2014-01-08:21:00:00,TS,-16.6312,-176.729
2014,SP,MM,41,IAN,2014-01-09:00:00:00,TS,-16.7,-176.65
2014,SP,MM,42,IAN,2014-01-09:03:00:00,TS,-16.7463,-176.529
2014,SP,MM,43,IAN,2014-01-09:06:00:00,TS,-16.8,-176.4
2014,SP,MM,44,IAN,2014-01-09:09:00:00,TS,-16.8712,-176.311
2014,SP,MM,45,IAN,2014-01-09:12:00:00,TS,-16.95,-176.2
2014,SP,MM,46,IAN,2014-01-09:15:00:00,TS,-17.0063,-176.019
2014,SP,MM,47,IAN,2014-01-09:18:00:00,TS,-17.1,-175.8
2014,SP,MM,48,IAN,2014-01-09:21:00:00,TS,-17.2813,-175.564
2014,SP,MM,49,IAN,2014-01-10:00:00:00,TS,-17.5,-175.35
2014,SP,MM,50,IAN,2014-01-10:03:00:00,TS,-17.7037,-175.206
2014,SP,MM,51,IAN,2014-01-10:06:00:00,TS,-17.9,-175.1
2014,SP,MM,52,IAN,2014-01-10:09:00:00,TS,-18.0637,-174.996
2014,SP,MM,53,IAN,2014-01-10:12:00:00,TS,-18.25,-174.9
2014,SP,MM,54,IAN,2014-01-10:15:00:00,TS,-18.4987,-174.807
2014,SP,MM,55,IAN,2014-01-10:18:00:00,TS,-18.8,-174.7
2014,SP,MM,56,IAN,2014-01-10:21:00:00,TS,-19.1199,-174.576
2014,SP,MM,57,IAN,2014-01-11:00:00:00,TS,-19.5,-174.4
2014,SP,MM,58,IAN,2014-01-11:03:00:00,TS,-19.9451,-174.121
